"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1,C3","10uF16V(3216)","~","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","2",""
"C2,C4,C5","0.1uF(1608)","~","Capacitor_SMD:C_0603_1608Metric_Pad1.08x0.95mm_HandSolder","3",""
"CN1,CN2","B2B-PH-K-S","~","Connector_JST:JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical","2",""
"D1","GL3UR45","~","LED_THT:LED_D3.0mm","1",""
"IC1","TPS1117LV33S","http://www.onsemi.com/pub_link/Collateral/NCP1117-D.PDF","Package_TO_SOT_SMD:SOT-223-3_TabPin2","1",""
"IC2","ESP32-C3 SuperMini","","My_Library:ESP32-C3 SuperMini","1",""
"IC3","DRV8835 Module","","My_Library:ESP32-C3 SuperMini","1",""
"IC4","MPU-6050 Module","","My_Library:MPU-6050 Module","1",""
"R1","33k","~","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","1",""
"R2","8.2k","~","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","1",""
"R3","330","~","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","1",""
"SW1,SW2","SS12D00G3","~","My_Library:PinHeader_3_P2.00_d0.8","2",""
